編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
700923,23,dremipa,,3230452,,U,搭建圍籬,12建築,,,,
700925,23,dremukung,,3230778,,U,低下頭,26肢體動作,,,,
700926,23,drengelan,,3230182,,U,頸子,06身體部位,,,,
700927,23,dreqer,,3230524,,U,套頸式陷阱,16狩獵,,,,
700932,23,dridri,,3230188,,B,豬,07動物(含昆蟲),,,,
700932,23,dridri,,3230223,,S,乳豬,07動物(含昆蟲),,,,
700933,23,drikitj,PAN26019,3231002,,U,短,32特徵,,,,
700937,23,drukudrukung,,3230965,,U,彎曲(物品),32特徵,,,,
700938,23,drumuwa,,3230119,,U,流氓,05人物、身分,,,,
700939,23,drusa,PAN30558,3230002,,B,二,01數字計量,,,,
700940,23,drusa a iday,,3230036,,I,兩百,01數字計量,,,,
700954,23,drusapuluq,,3230020,,B,二十,01數字計量,,,,
700955,23,drusapuluq sa drusa,,3230022,,B,二十二,01數字計量,,,,
700956,23,drusapuluq sa ita,,3230021,,B,二十一,01數字計量,,,,
700957,23,drusapuluq sa lima,,3230025,,B,二十五,01數字計量,,,,
700958,23,drusapuluq sa sepatj,,3230024,,B,二十四,01數字計量,,,,
700959,23,drusapuluq sa tjelu,,3230023,,B,二十三,01數字計量,,,,
700966,23,duku,,3230968,,U,毒,32特徵,,,,
700972,23,dut,,3230959,,S,近,32特徵,,,,
700998,23,emadjuq,,3231026,,S,留下,34其他,,,,
701041,23,gacalju,,3230785,,B,起立,26肢體動作,,,,
701042,23,gacel,PAN30267,3230920,,U,癢,31生老病死傷,,,,
701045,23,gaciyu,JPN071,3230242,,S,鵝,07動物(含昆蟲),,,,
701052,23,gadugadu,,3230493,,S,山頂,14空間,,,,
701052,23,gadugadu,,3230400,,U,獨立的小山頭,10山川地理,,,,
701065,23,galiljegilj,,3230952,,U,明亮,32特徵,,,,
701077,23,gang,PAN26611,3230232,,U,螃蟹,07動物(含昆蟲),,,,
701081,23,garuc,PAN30820,3230364,,I,梳子,09物品(不含食品),,,,
701081,23,garuc,PAN30820,3230337,,S,(竹製的)刮麻具,09物品(不含食品),,,,
701102,23,gemaduwan,,3230653,,S,沿著山巒,25行動,,,,
701114,23,gememegem,,3230737,,U,握拳,26肢體動作,,,,
701124,23,gemucal,,3230740,,S,剝殼,26肢體動作,,,,
701125,23,gemuceguc,,3230698,,I,抓癢,26肢體動作,,,,
701134,23,gidi,,3230492,,I,旁邊,14空間,,,,
701147,23,ginemegem,,3230723,,I,握著,26肢體動作,,,,
701179,23,gung,,3230196,,B,牛,07動物(含昆蟲),,,,
701216,23,hiriw,,3230511,,U,肥料,15農耕,,,,
701221,23,huciu,,3230376,,U,菜刀,09物品(不含食品),,,,
701225,23,husu,,3230371,,S,水管,09物品(不含食品),,,,
701229,23,i,,3231092,,B,在,36助詞或其他,,,,
701235,23,i…,,3230486,,I,在某處,14空間,,,,
701255,23,iday,,3230034,,S,百,01數字計量,,,,
701257,23,idu,,3230633,,I,(叫人)過來,25行動,,,,
701271,23,ikamaqati,,3231033,,S,禁止,34其他,,,,
701276,23,iku,PAN26455,3230187,,I,尾巴,07動物(含昆蟲),,,,
701289,23,imaza,,3230063,,B,這裡,02代名詞、指示詞,,,,
701294,23,inalap,,3230522,,I,獵物(統稱),16狩獵,,,,
701305,23,incay,NAN006,3230285,,U,空心菜,08植物,,,,
701311,23,ini,PAN29955,3231054,,B,不是(回答用),35否定詞,,,,
701315,23,inianan,,3231078,,U,還(尚未),36助詞或其他,,,,
701317,23,iniangata,,3231071,,U,從不,36助詞或其他,,,,
701319,23,inika maqati,,3231053,,B,不可以,35否定詞,,,,
701323,23,inikamakuda,,3231051,,I,沒關係,34其他,,,,
701342,23,inu,,3230072,,B,哪裡,03疑問詞,,,,
701346,23,inuli,,3230831,,B,禱告,28認知感官,,,,
701353,23,inuwan,,3230077,,B,什麼地方,03疑問詞,,,,
701360,23,ipurung,,3230561,,U,擋胸巾,18織布服飾,,,,
701379,23,ita,,3230001,,B,一,01數字計量,,,,
