編號,語別,詞語,音檔
700830,23,djemilaq,3230823.mp3
700837,23,djemuas,3230763.mp3
700838,23,djemukul,3230688.mp3
700839,23,djemulat,3230752.mp3
700854,23,djilay,3230165.mp3
700855,23,djilj,3230180.mp3
700870,23,djinumulj a qipu,3230392.mp3
700871,23,djinumuljan,3230731.mp3
700874,23,djiruwac,3230825.mp3
700879,23,djuadjuay,3230591.mp3
700884,23,djukudjuku,3230760.mp3
700892,23,djumaken,3231041.mp3
700903,23,drail,3230195.mp3
700908,23,dramiqi,3230166.mp3
700909,23,dramiya,3230507.mp3
700917,23,dregedregan,3230179.mp3
700918,23,dremadranga,3231039.mp3
700920,23,dremadrukungan,3230684.mp3
700922,23,dremaian,3230682.mp3
700926,23,dremaudraw,3230808.mp3
700928,23,dremipa,3230452.mp3
700930,23,dremukung,3230778.mp3
700931,23,drengelan,3230182.mp3
700932,23,dreqer,3230524.mp3
700937,23,dridri,3230188.mp3
700938,23,drikitj,3231002.mp3
700942,23,drukudrukung,3230965.mp3
700943,23,drumuwa,3230119.mp3
700944,23,drusa,3230002.mp3
700945,23,drusa a iday,3230036.mp3
700959,23,drusapuluq,3230020.mp3
700960,23,drusapuluq sa drusa,3230022.mp3
700961,23,drusapuluq sa ita,3230021.mp3
700962,23,drusapuluq sa lima,3230025.mp3
700963,23,drusapuluq sa sepatj,3230024.mp3
700964,23,drusapuluq sa tjelu,3230023.mp3
700971,23,duku,3230968.mp3
700977,23,dut,3230959.mp3
701003,23,emadjuq,3231026.mp3
701046,23,gacalju,3230785.mp3
701047,23,gacel,3230920.mp3
701050,23,gaciyu,3230242.mp3
701057,23,gadugadu,3230400.mp3
701070,23,galiljegilj,3230952.mp3
701082,23,gang,3230232.mp3
701087,23,garuc,3230337.mp3
701108,23,gemaduwan,3230653.mp3
701120,23,gememegem,3230737.mp3
701130,23,gemucal,3230740.mp3
701131,23,gemuceguc,3230698.mp3
701140,23,gidi,3230492.mp3
701153,23,ginemegem,3230723.mp3
701185,23,gung,3230196.mp3
701222,23,hiriw,3230511.mp3
701227,23,huciu,3230376.mp3
701231,23,husu,3230371.mp3
701235,23,i,3231092.mp3
701241,23,i…,3230486.mp3
701261,23,iday,3230034.mp3
701263,23,idu,3230633.mp3
701277,23,ikamaqati,3231033.mp3
701282,23,iku,3230187.mp3
701295,23,imaza,3230063.mp3
701300,23,inalap,3230522.mp3
701311,23,incay,3230285.mp3
701317,23,ini,3231054.mp3
701321,23,inianan,3231078.mp3
701323,23,iniangata,3231071.mp3
701325,23,inika maqati,3231053.mp3
701329,23,inikamakuda,3231051.mp3
701348,23,inu,3230072.mp3
701352,23,inuli,3230831.mp3
701359,23,inuwan,3230077.mp3
701366,23,ipurung,3230561.mp3
701385,23,ita,3230001.mp3
701428,23,izuwa,3231034.mp3
701433,23,kacakac,3230541.mp3
701457,23,kadikad,3230349.mp3
701460,23,kadjamadjaman,3230473.mp3
701461,23,kadjaman,3230459.mp3
701465,23,kadradrungulj,3230213.mp3
701468,23,kadrangu,3230379.mp3
701489,23,kaka a tjaljaljak,3230101.mp3
701491,23,kaka tjaljaljak a uqaljay,3230102.mp3
701492,23,kaka tjaljaljak a vavayan,3230103.mp3
701493,23,kaka tjavulung,3230097.mp3
701494,23,kaka tjavulung a uqaljay,3230100.mp3
701495,23,kaka tjavulung a vavayan,3230099.mp3
701501,23,kakakaka,3230421.mp3
701503,23,kakanen,3230800.mp3
701510,23,kakedryan,3230110.mp3
701539,23,kakudan,3230621.mp3
701557,23,kalapkapan,3230181.mp3
701558,23,kalavis,3230321.mp3
701562,23,kalevelevan,3230405.mp3
701566,23,kaliljaw,3230551.mp3
701576,23,kaljadjadjeljeman,3230409.mp3
701581,23,kaljaljaljeqelan,3230409.mp3
701591,23,kaljauragan,3230428.mp3
701592,23,kaljauraman,3230409.mp3
701596,23,kaljavevuan,3230426.mp3
701600,23,kaljazalangezangan,3230410.mp3
701610,23,kaljusekusan,3230137.mp3
701614,23,kama,3230080.mp3
701617,23,kamakama,3230222.mp3
701619,23,kamakudakuda,3230078.mp3
701621,23,kamangulj,3230305.mp3
701622,23,kamaqacuvucuvung,3230476.mp3
701630,23,kamuraw,3230303.mp3
701634,23,kanavalj,3230494.mp3
701637,23,kangkang,3230506.mp3
701644,23,kanupitj,3230534.mp3
701649,23,kapaz,3230279.mp3
701657,23,karakuda,3230844.mp3
701668,23,kasani,3230458.mp3
701669,23,kasasavan,3230448.mp3
701670,23,kasauni,3231083.mp3
701671,23,kasauniuni,3231068.mp3
701679,23,kasikasepatj,3230468.mp3
701681,23,kasikasiw,3230388.mp3
701682,23,kasikatjelu,3230461.mp3
701684,23,kasimazanga,3230675.mp3
701690,23,kasiw,3230254.mp3
701699,23,kasusu,3230085.mp3
701700,23,kasuy,3230549.mp3
701707,23,katiaw,3230456.mp3
701717,23,katjutjung,3230334.mp3
701719,23,katuwa,3231075.mp3
701727,23,kava,3230536.mp3
701742,23,kaviri,3230495.mp3
701745,23,kaviz,3230151.mp3
701756,23,kay,3230618.mp3
701757,23,kaya,3230443.mp3
701759,23,kayv,3230803.mp3
701772,23,kedremel,3230945.mp3
701773,23,kedri,3230044.mp3
701774,23,kedrikedri,3230932.mp3
701778,23,kelain,3230685.mp3
701791,23,kemac,3230790.mp3
701795,23,kemacu,3230647.mp3
701797,23,kemadikad,3230734.mp3
701799,23,kemaizua,3230904.mp3
701801,23,kemali,3230780.mp3
701805,23,kemaljava,3230865.mp3
701806,23,keman,3230786.mp3
701808,23,kemangkang,3230502.mp3
701816,23,kemasi…,3230500.mp3
701821,23,kematung,3231030.mp3
701823,23,kemava,3230668.mp3
701824,23,kemavakav,3230711.mp3
701826,23,kemavulj,3230658.mp3
701830,23,kemelem,3230688.mp3
701832,23,kemeljang,3230805.mp3
701834,23,kemerap,3230661.mp3
701836,23,kemeretj,3230754.mp3
701837,23,kemesa,3230864.mp3
701839,23,kemezekez,3230889.mp3
701841,23,kemim,3231031.mp3
701844,23,kemitj,3230710.mp3
701855,23,kemuda,3230068.mp3
701862,23,kemuljaw,3230863.mp3
701866,23,kemungatj,3230798.mp3
701871,23,kenama,3230801.mp3
701873,23,kencengelj,3230802.mp3
701879,23,kerilj,3230238.mp3
701897,23,kiamaw,3230664.mp3
701903,23,kiaya,3230744.mp3
701908,23,kicacevung,3230656.mp3
701912,23,kicakaw,3230974.mp3
701917,23,kicaquan,3230856.mp3
701922,23,kicepeliw,3230649.mp3
701941,23,kigalju,3230997.mp3
701964,23,kilalaing,3230883.mp3
701977,23,kiljaljava,3230865.mp3
701982,23,kiljavaran,3230807.mp3
701983,23,kiljinga,3230819.mp3
701984,23,kiljivak,3230836.mp3
701995,23,kina,3230081.mp3
702001,23,kinacavacavan,3230139.mp3
702016,23,kinakina,3230231.mp3
702027,23,kinamarecekeljan,3230627.mp3
702036,23,kinaqadavan,3230616.mp3
702064,23,kinavic,3230715.mp3
702110,23,kinsa,3230576.mp3
702119,23,kinuwang,3230690.mp3
702133,23,kipalingulj,3231046.mp3
702136,23,kipaparangez,3231023.mp3
702194,23,kiqaung,3230831.mp3
702213,23,kiqunu,3230884.mp3
702228,23,kisac,3230120.mp3
702245,23,kisedjam,3230637.mp3
702254,23,kisi,3230341.mp3
702257,23,kisigidi,3230768.mp3
702260,23,kisiya,3230575.mp3
702264,23,kisululjayan,3230853.mp3
702268,23,kisuqadaw,3231084.mp3
702280,23,kitailju,3230651.mp3
702282,23,kitangez,3230766.mp3
702297,23,kitjelangalj,3230857.mp3
702306,23,kitulu,3230856.mp3
702318,23,kivadaq,3230816.mp3
702321,23,kivala,3230679.mp3
702325,23,kivalidi,3231045.mp3
702331,23,kivangavang,3230906.mp3
702337,23,kivauvalj,3230897.mp3
702343,23,kivetjek,3230884.mp3
702348,23,kiyukay,3230530.mp3
702353,23,kizengtjel,3230778.mp3
702354,23,kizing,3230359.mp3
702368,23,kubaw,3230450.mp3
702371,23,kucepad,3230985.mp3
702373,23,kuciu,3230123.mp3
702375,23,kucu,3230219.mp3
702382,23,kudamunu,3230275.mp3
702385,23,kudrakudral,3230931.mp3
702387,23,kudral,3230953.mp3
702392,23,kudresul,3230989.mp3
702396,23,kuisang,3230115.mp3
702398,23,kuku,3230249.mp3
702401,23,kula,3230141.mp3
702402,23,kulakula,3230391.mp3
702403,23,kulavau,3230197.mp3
702409,23,kuli,3230419.mp3
702410,23,kulic,3230215.mp3
702420,23,kuljay,3231001.mp3
702428,23,kumakuma,3230214.mp3
702429,23,kumalji,3231063.mp3
702435,23,kun,3230554.mp3
702442,23,kungay,3230338.mp3
702443,23,kungkuan,3230438.mp3
702449,23,kupu,3230346.mp3
702454,23,kuravak,3230088.mp3
702464,23,kutji,3230156.mp3
702466,23,kuvekuv,3230509.mp3
702468,23,kuvulj,3230394.mp3
702470,23,kuwang,3230519.mp3
702478,23,kuzulj,3230037.mp3
702479,23,ladjap,3230415.mp3
702481,23,ladruq,3231000.mp3
702486,23,lala,3230390.mp3
702488,23,lalang,3230552.mp3
702491,23,lalangaw,3230220.mp3
702499,23,laljing,3230371.mp3
702526,23,lava,3230206.mp3
702529,23,lavu,3230599.mp3
702539,23,legelegen,3230695.mp3
702541,23,lekelek,3230550.mp3
702547,23,lemaing,3230747.mp3
702548,23,lemakeculj,3230753.mp3
702554,23,lemamedj,3230791.mp3
702557,23,lemangeda,3230822.mp3
702571,23,leming(e)djelj,3230751.mp3
702573,23,lemingedjelj,3231036.mp3
702583,23,lemugalug,3230746.mp3
702587,23,lemum,3230513.mp3
702594,23,lemutud,3230908.mp3
702604,23,levecan,3230868.mp3
702615,23,likau,3230540.mp3
702622,23,likuculju,3230784.mp3
702624,23,likuljaw,3230207.mp3
702631,23,liljualjuas,3230608.mp3
702634,23,lima,3230005.mp3
702638,23,lima puluq,3230029.mp3
702644,23,limquin,3230792.mp3
702660,23,lingedavan,3230484.mp3
702681,23,liqu,3230177.mp3
702690,23,liyaw,3230936.mp3
702697,23,ljaceng,3230580.mp3
702699,23,ljadjek,3230412.mp3
702714,23,ljaki,3231087.mp3
702715,23,ljakidjur,3230300.mp3
702723,23,ljaljeqel,3230934.mp3
702752,23,ljaqas,3230423.mp3
702756,23,ljaqic,3230919.mp3
702762,23,ljasuasuak,3230401.mp3
702778,23,ljavek,3230427.mp3
702781,23,ljaves,3230308.mp3
702800,23,ljelet,3230185.mp3
702812,23,ljemama,3230861.mp3
702815,23,ljemaqeljaq,3230736.mp3
702816,23,ljemaui,3230817.mp3
702817,23,ljemaumuq,3230926.mp3
702833,23,ljemengis,3230891.mp3
702856,23,ljemuceljuc,3230765.mp3
702862,23,ljeqaqecev,3230042.mp3
702863,23,ljeqeljeqan,3230183.mp3
702864,23,ljequ,3230199.mp3
702869,23,ljevavaw,3230699.mp3
702897,23,ljinay,3230318.mp3
702910,23,ljiv,3230393.mp3
702912,23,ljivanger,3230301.mp3
702913,23,ljivu,3230244.mp3
702920,23,ljumay,3230288.mp3
702927,23,ljungpaw,3230553.mp3
702933,23,ljusepit,3230947.mp3
702939,23,lubuk,3230348.mp3
702945,23,lukuc,3230283.mp3
702958,23,lumeljak,3230988.mp3
702962,23,luni,3230420.mp3
702999,23,maca,3230133.mp3
703010,23,macam,3230962.mp3
703012,23,macaqu,3230830.mp3
703017,23,macay,3230907.mp3
703045,23,maculja,3230799.mp3
703046,23,maculju,3230793.mp3
703047,23,maculjuculju,3230998.mp3
703052,23,macunuq,3231029.mp3
703066,23,madjapeng,3230980.mp3
703084,23,madringay,3231043.mp3
703085,23,madriyal,3230916.mp3
703107,23,maipuq,3230691.mp3
703108,23,maisu,3230775.mp3
703124,23,makalaing,3230663.mp3
703129,23,makapalak,3230961.mp3
703148,23,makinamalji,3230838.mp3
703154,23,makuda,3230074.mp3
703156,23,makudakuda,3230069.mp3
703159,23,makulung,3231094.mp3
703161,23,makuya,3230542.mp3
703166,23,malaing,3230783.mp3
703176,23,malap,3230687.mp3
703181,23,maledep,3230430.mp3
703183,23,malegeleg,3230742.mp3
703184,23,maleping,3230646.mp3
703185,23,maleva,3230837.mp3
703196,23,malingaw,3230893.mp3
703224,23,maljialjiya,3230462.mp3
703233,23,malugalug,3230739.mp3
703237,23,maluljay,3230955.mp3
703238,23,malum,3230944.mp3
703249,23,mamaw,3230614.mp3
703254,23,manadip,3230879.mp3
703259,23,manasika,3230065.mp3
703265,23,mangilu,3230924.mp3
703269,23,manguaqan,3230626.mp3
703275,23,manu tima,3230071.mp3
703305,23,mapaseqetju,3230909.mp3
703314,23,mapeljuq,3231005.mp3
703324,23,mapida,3230076.mp3
703338,23,mapulaw,3230941.mp3
703347,23,maqacuvucuvung,3230125.mp3
703348,23,maqacuvucuvung a vavayan,3230129.mp3
703372,23,maqati,3231009.mp3
703396,23,maqiyu,3230882.mp3
703410,23,maqusaw,3230797.mp3
703427,23,marekutj,3230834.mp3
703434,23,maretarev,3230095.mp3
703438,23,marevaljaw,3230093.mp3
703442,23,mariljay,3230927.mp3
703444,23,marivu,3230776.mp3
703459,23,maruqalu,3230396.mp3
703461,23,maruqu,3230705.mp3
703471,23,masalu,3230818.mp3
703510,23,masengeseng,3230844.mp3
703518,23,masevec,3230991.mp3
703524,23,masi…,3230667.mp3
703529,23,masik,3230501.mp3
703547,23,masukencengelj,3230478.mp3
703550,23,masukungay,3230950.mp3
703551,23,masulem,3230431.mp3
703552,23,masulesulem,3230464.mp3
703566,23,masutjugut,3230532.mp3
703587,23,matjalaw,3230838.mp3
703594,23,matjaq,3230946.mp3
703608,23,matjeveng,3230996.mp3
703619,23,maudemid,3230972.mp3
703623,23,maulaw,3230910.mp3
703636,23,mavacuk,3230510.mp3
703638,23,mavaday,3230666.mp3
703651,23,mavavuvavuy,3230677.mp3
703664,23,mavetu,3230795.mp3
703666,23,mavilad,3230644.mp3
703668,23,mavuca,3230967.mp3
703671,23,mavulaqut,3230949.mp3
703675,23,mavungelay,3230913.mp3
703677,23,mawqadaw,3230460.mp3
703678,23,maya,3231052.mp3
703683,23,mayatucu,3231081.mp3
703687,23,mazaljum,3230425.mp3
703695,23,mazekel,3230794.mp3
703696,23,mazeli,3230955.mp3
703705,23,medjek,3230895.mp3
703715,23,meljay,3230432.mp3
703717,23,menacidiljan,3230613.mp3
703728,23,meqaca,3230650.mp3
703733,23,merecaucaw,3230981.mp3
703740,23,mesuaw,3230862.mp3
703749,23,mezangal,3230650.mp3
703755,23,migacalj,3230847.mp3
703757,23,migereger,3230697.mp3
703767,23,milingan,3230479.mp3
703779,23,mincelaq,3231015.mp3
703781,23,minevalak,3230964.mp3
703782,23,minglayapanga,3230640.mp3
703785,23,minpetj,3230845.mp3
703789,23,minqut,3230670.mp3
703796,23,mintjuljuk,3230681.mp3
703797,23,mintjus,3230840.mp3
703805,23,mipuq,3230749.mp3
703808,23,mirau,3230547.mp3
703812,23,miseleman,3230463.mp3
703815,23,misepi ta nakuya,3230858.mp3
703817,23,misiq,3230849.mp3
703819,23,misuaw,3230862.mp3
703821,23,mitung,3230668.mp3
703826,23,mudingan,3230134.mp3
703829,23,mukaw,3230298.mp3
703833,23,mulaviq,3231017.mp3
703837,23,mumalj,3231066.mp3
703855,23,mutjaq,3230789.mp3
703859,23,nabi,3230367.mp3
703860,23,nacemavulid,3230703.mp3
703869,23,nakemaladray,3230722.mp3
703870,23,nakemali,3230709.mp3
703886,23,nakuyangata,3231072.mp3
703909,23,namakakaizuazua,3230624.mp3
703910,23,namakakayzuwazuwa,3230041.mp3
703911,23,namakelu,3230654.mp3
703930,23,namangetjez,3230636.mp3
703940,23,namapeljuq,3230992.mp3
703958,23,namasusidang,3230983.mp3
703971,23,nametad,3230954.mp3
703973,23,namigacalj,3230672.mp3
703985,23,nanguanguaq,3230993.mp3
703986,23,nanguaq,3231047.mp3
703988,23,nanguwaq,3231061.mp3
704001,23,napeniliq,3230727.mp3
704008,23,naqemereng,3230700.mp3
704010,23,naqemiladj,3230671.mp3
704019,23,nasedjekec,3231019.mp3
704041,23,natemapulju,3230707.mp3
704054,23,navaik,3230676.mp3
704062,23,neka,3231050.mp3
704070,23,ngaci,3230237.mp3
704075,23,ngadan,3230106.mp3
704077,23,ngadjay,3230160.mp3
704082,23,ngasa,3230389.mp3
704084,23,ngayngay,3230122.mp3
704098,23,ngilengil,3230269.mp3
704104,23,ngiyau,3230191.mp3
704110,23,ngudjus,3230140.mp3
704117,23,ni,3231091.mp3
704126,23,niciubi,3230480.mp3
704132,23,nima,3230073.mp3
704133,23,nimadju,3230057.mp3
704134,23,nimitja,3230053.mp3
704135,23,nimun,3230052.mp3
704136,23,ninzng,3230284.mp3
704137,23,nisun,3230055.mp3
704138,23,nitjen,3230060.mp3
704140,23,niyaken,3230056.mp3
704141,23,niyamadju,3230054.mp3
704143,23,nu,3231079.mp3
704152,23,nuicavilj,3230454.mp3
704162,23,nupacunen,3230678.mp3
704164,23,nusaunianga,3230469.mp3
704168,23,nusikasepatj,3230470.mp3
704169,23,nusikatjelu,3230472.mp3
704172,23,nutiyaw,3230457.mp3
704174,23,nutjaivililj,3230474.mp3
704191,23,pacalivat,3231028.mp3
704217,23,pacun,3230806.mp3
704220,23,pacuwal,3230897.mp3
704224,23,paday,3230253.mp3
704232,23,padjaljedjalj,3230465.mp3
704251,23,pagidigidi,3230492.mp3
704261,23,paisu,3230310.mp3
704270,23,paka…,3230813.mp3
704280,23,pakaleva,3231011.mp3
704289,23,pakan,3230757.mp3
704304,23,pakazelju,3230531.mp3
704308,23,pakelay,3230896.mp3
704316,23,pakirimu,3231064.mp3
704334,23,palalj,3230235.mp3
704337,23,palamu,3230477.mp3
704343,23,palemek,3231010.mp3
704347,23,palidring,3230574.mp3
704350,23,palisi,3230527.mp3
704361,23,paljavak,3230559.mp3
704370,23,paljing,3230437.mp3
704376,23,pan,3230518.mp3
704377,23,pana,3230386.mp3
704378,23,panadip,3230333.mp3
704390,23,pangudralj,3230270.mp3
704400,23,papamaw,3230045.mp3
704416,23,papeqaca,3230917.mp3
704470,23,paqedev,3230826.mp3
704477,23,paqeteleng,3231060.mp3
704478,23,paqetjutj,3230915.mp3
704483,23,paqulid,3230995.mp3
704485,23,paqulja,3230874.mp3
704487,23,paquzip,3230898.mp3
704499,23,paravac,3230933.mp3
704504,23,parimasudj,3230842.mp3
704509,23,pariuk,3230356.mp3
704544,23,pasemalaw,3230814.mp3
704559,23,patagilj,3231037.mp3
704566,23,patarevan,3230622.mp3
704568,23,pataud,3231020.mp3
704570,23,patekuteku,3230497.mp3
704572,23,patevela,3230821.mp3
704611,23,pavai,3230635.mp3
704615,23,pavalit,3230888.mp3
704623,23,paveli,3230630.mp3
704629,23,payrang,3230124.mp3
704640,23,pazazekatj,3230824.mp3
704646,23,pecaqi,3230852.mp3
704647,23,pecungu,3230880.mp3
704651,23,pedjamuq,3230912.mp3
704660,23,penakeciyu,3230894.mp3
704670,23,penangapangalj,3230716.mp3
704682,23,pendjek,3230900.mp3
704699,23,penitaw,3230903.mp3
704703,23,penuljat,3230043.mp3
704723,23,picul,3230619.mp3
704725,23,pida,3230038.mp3
704731,23,piku,3230159.mp3
704788,23,pinereper,3230702.mp3
704798,23,pinpu,3230121.mp3
704821,23,piqay,3230162.mp3
704825,23,pitaw,3230508.mp3
704827,23,piteval,3230846.mp3
704830,23,pitju,3230007.mp3
704832,23,pitju a puluq,3230031.mp3
704860,23,pucekelj,3230623.mp3
704868,23,puday,3230263.mp3
704877,23,pudringay,3230866.mp3
704878,23,pudru,3230184.mp3
704886,23,puisiq,3230849.mp3
704887,23,puita,3230039.mp3
704890,23,puk,3230302.mp3
704916,23,puljutjan,3230306.mp3
704927,23,pungsi,3230557.mp3
704948,23,puqezelj,3230829.mp3
704965,23,pusaladj,3231018.mp3
704966,23,pusalu,3230817.mp3
704971,23,pusau,3230643.mp3
704978,23,pusurenung,3230876.mp3
704986,23,putjeveng,3230885.mp3
704993,23,putuputung,3230496.mp3
704994,23,puvaljaw,3230623.mp3
705001,23,puvuyuvuyuwan,3230446.mp3
705009,23,qaca,3230930.mp3
705010,23,qaca tu riljay,3230986.mp3
705015,23,qacay,3230164.mp3
705022,23,qaciljay,3230439.mp3
705024,23,qacuvung,3231065.mp3
705026,23,qadaw,3230403.mp3
705028,23,qadid,3230971.mp3
705034,23,qadjaw,3231057.mp3
705040,23,qadupu,3230345.mp3
705052,23,qalev,3230167.mp3
705054,23,qali,3230109.mp3
705059,23,qalja,3230117.mp3
705060,23,qaljaljay,3230155.mp3
705066,23,qaljeceqec,3230977.mp3
705069,23,qaljemeqem,3230984.mp3
705075,23,qaljic,3230153.mp3
705079,23,qaljiyu,3230440.mp3
705090,23,qam,3230200.mp3
705098,23,qapedang,3230978.mp3
705100,23,qapedu,3230169.mp3
705103,23,qapulu,3230276.mp3
705106,23,qaqa,3230248.mp3
705114,23,qaqerengan,3230352.mp3
705119,23,qaqilj,3230292.mp3
705122,23,qaqudrui,3230236.mp3
705136,23,qarizang,3230286.mp3
705140,23,qasalj,3230590.mp3
705142,23,qaselu,3230325.mp3
705151,23,qatiya,3230582.mp3
705154,23,qatjimetjim,3230246.mp3
705156,23,qatjudray,3230225.mp3
705160,23,qatjuvi,3230205.mp3
705162,23,qatjuvitjuvi,3230203.mp3
705163,23,qau,3230265.mp3
705168,23,qauzung,3230211.mp3
705171,23,qavan,3230150.mp3
705175,23,qaveleng,3230990.mp3
705178,23,qavu,3230357.mp3
705181,23,qavutjar,3230217.mp3
705182,23,qavuvung,3230158.mp3
705186,23,qayaqayam,3230192.mp3
705190,23,qayaw,3230488.mp3
705191,23,qayljungan,3230354.mp3
705192,23,qaynguway,3230281.mp3
705198,23,qecap,3230330.mp3
705201,23,qecengecengel,3230602.mp3
705206,23,qecilu,3230584.mp3
705222,23,qeljevi,3230629.mp3
705226,23,qeljuqeljuan,3230453.mp3
705227,23,qeluz,3230444.mp3
705229,23,qemacuvung,3231038.mp3
705236,23,qemaljiu,3230451.mp3
705249,23,qemaruqarut,3230716.mp3
705254,23,qemaung,3230835.mp3
705267,23,qemecap,3230771.mp3
705268,23,qemeceng,3231025.mp3
705274,23,qemeleqel,3230796.mp3
705278,23,qememu,3230748.mp3
705291,23,qemezetj,3230735.mp3
705294,23,qemili,3230759.mp3
705301,23,qemizing,3230777.mp3
705313,23,qemudjalj,3230402.mp3
705333,23,qemuyuquyulj,3230724.mp3
705344,23,qerepus,3230413.mp3
705353,23,qetjeqetj,3230523.mp3
705355,23,qetjung,3230397.mp3
705361,23,qezemetj,3230455.mp3
705365,23,qezetj,3230564.mp3
705366,23,qezung,3230436.mp3
705371,23,qidung,3230331.mp3
705374,23,qiladjan,3230315.mp3
705381,23,qiljain,3230712.mp3
705385,23,qiljas,3230404.mp3
705405,23,qinaljan,3230615.mp3
705412,23,qinasaqasaw,3230592.mp3
705433,23,qipu,3230385.mp3
705460,23,qudis,3230273.mp3
705461,23,qudjalj,3230407.mp3
705465,23,qudjidjilj,3230603.mp3
705474,23,qulivalivay,3230605.mp3
705477,23,quljangaljangas,3230608.mp3
705480,23,quljaw,3230609.mp3
705485,23,quljicacengelaw,3230212.mp3
705496,23,quljivangraw,3230429.mp3
705500,23,quljung,3230923.mp3
705501,23,qulu,3230136.mp3
705503,23,quma,3230416.mp3
705508,23,qungalj,3230280.mp3
705530,23,quvalj,3230143.mp3
705542,23,quzang,3230228.mp3
705564,23,ramaljeng,3230111.mp3
705602,23,remakac,3230719.mp3
705603,23,remaketjan,3231076.mp3
705607,23,remanaw,3230979.mp3
705630,23,remumed,3230748.mp3
705645,23,ricing,3230266.mp3
705647,23,ridraridr,3230344.mp3
705678,23,ru-,3231074.mp3
705698,23,rukain,3230807.mp3
705717,23,runain,3230545.mp3
